Text,Emotion
"Don’t try to please other people if in the end, you know it wont work.",Angry
I can always tell about the health of a culture of an organization by how much gossiping is happening”,Shame
Things are not the way they seem. Many things are pretty and desirable but come with their own pay.,Sadness
Fear of a name increases fear of the thing itself.,Fear
"Everything is getting expensive except some people, they are getting cheaper.",Angry
"My humanity is bound up in yours, for we can only be human together.",Neutral
"If you’re going to talk about be behind my back, don’t smile at me to my face!",Angry
"We’re animals. No shame, no guilt - no sin",Shame
"The person you care for the most, is the person you’ll let hurt you the most.",Sadness
What a lovely surprise to finally discover how unlonely being alone can be.,Surprise
Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.,Fear
"Whenever death may surprise us, let it be welcome if our battle cry has reached even one receptive ear and another hand reaches out to take up our arms.",Surprise
Truth is everybody is going to hurt you: you just gotta find the ones worth suffering for.,Sadness
"Elle se sentait en même temps indignée contre tous ses voisins, et humiliée d'avoir cedé, souillée par les baisers de ce Prussien entre les bras duquel on l'avait hypocritement jetée.",Shame
"Nobody makes you angry, you decide to use anger as a response.",Angry
There is a stubbornness about me that never can bear to be frightened at the will of others. My courage always rises at every attempt to intimidate me.,Fear
It is not the pain. It’s who it came from.,Sadness
"I used to think that size does not count, until I realized that most people either find other people’s faeces more disgusting than a bird’s droppings, or they do not find the latter disgusting at all.",Disgust
"God's dream is that you and I and all of us will realize that we are family, that we are made for togetherness, for goodness, and for compassion.",Neutral
My biggest mistake is thinking that people care for me as much as I do for them.,Sadness
Maybe what shame needs to stay alive is the consent of the shamed.,Shame
"People cry not because they are weak, It’s because they’ve been strong for too long.",Fear
"People change, things go wrong, shit happens, but life goes on.",Angry
"Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams, because every second of the search is a second's encounter with God and with eternity",Fear
"Whenever death may surprise us, let it be welcome if our battle cry has reached even one receptive ear and another hand reaches out to take up our arms.",Surprise
Love is a disease.,Disgust
We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.,Fear
"Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.",Neutral
"Just because I’m being quiet, that doesn’t mean I’m mad.",Angry
The backbone of surprise is fusing speed with secrecy.,Surprise
From the outside I’m smiling but it doesn’t mean I’m Happy,Sadness
Have no fear of perfection - you'll never reach it.,Fear
"Do I have YOUR permission to be a Supernatural God? If I want to open heaven, and in a moment in time, touch the heart of a daughter and supernaturally break all the darkness, shame, and torment in her life, MAY I DO THAT?",Shame
"Never forget what someone says to you when they are angry, because that’s when the truth comes out.",Angry
"Expose yourself to your deepest fear; after that, fear has no power, and the fear of freedom shrinks and vanishes. You are free.",Fear
"My trust in God flows out of the experience of his loving me, day in and day out, whether the day is stormy or fair, whether I'm sick or in good health, whether I'm in a state of grace or disgrace. He comes to me where I live and loves me as I am.",Neutral
It sucks when you realize you rejected other people for that one person who wasted your time.,Angry
The husband who decides to surprise his wife is often very much surprised himself.,Surprise
Today we recognize that the emotion of disgust evolved as an unconscious defense against biological contamination.,Disgust
Scared is what you're feeling. Brave is what you're doing.,Fear
Some people never realize the emotional and mental damage they do to others.,Angry
"It's shame that gets us killed. Shame is the anchor, the heaviest burden to carry from the battlefield. Fortunately shame was an affliction I'd never suffered from.",Shame
To hurt is as human as to breathe.,Sadness
Life is God's novel. Let him write it.,Neutral
"It's the questions we can't answer that teach us the most. They teach us how to think. If you give a man an answer, all he gains is a little fact. But give him a question and he'll look for his own answers.",Fear
"If you don't take an opponent serious, they surprise you.",Surprise
My silence doesn’t mean that I quit… It simply means that I don’t want to argue with people who just don’t want to understand.,Angry
Men must be governed by God or they will be ruled by tyrants.,Neutral
"Walking on rocks, hurts. Walking on glass, cuts. Walking on hot coals, burns. Walking on someone’s heart kills.",Sadness
"Poor, dear, silly Spring, preparing her annual surprise!",Surprise
"Disgust is a learned behaviour that finds fertile soil in ignorance, yielding a bountiful harvest of alienation, oppression, and hate.",Disgust
Some of God's greatest gifts are unanswered prayers.,Neutral
Do not be afraid; our fate Cannot be taken from us; it is a gift.,Fear
The only thing that should surprise us is that there are still some things that can surprise us.,Surprise
Never make yourself feel like nothing to make someone else feel like everything.,Angry
"If someone calls you disgusting, they are lusting. It creates an energetic cord of control, which steals power, gifts, money, reputation, and free will choice from you. Drop the parasites.",Disgust
"It hurts if someone tells you they don’t want you, but it hurts more if they don’t tell you.",Sadness
Do not let your hearts be troubled. Trust in God; trust also in me.,Neutral
"Don't give in to your fears. If you do, you won't be able to talk to your heart.",Fear
I will not delete you or block you. I am keeping you there so you will be able to see how happy I’m without you,Angry
The part of her that should have been disgusted was numb.,Disgust
"The surprise is half the battle. Many things are half the battle, losing is half the battle. Let's think about what's the whole battle.",Surprise
"Looks like it’s game time,” Shame said. “Beautiful day for some ass kicking, don’t you think?",Shame
Reason is God's crowning gift to man.,Neutral
"I don’t trust anybody. Not anybody. And the more that I care about someone, the more sure I am they’re going to get tired of me and take off.",Fear
"When reflecting upon it today, that the Pearl Harbor attack should have succeeded in achieving surprise seems a blessing from Heaven. It was clear that a great American fleet had been concentrated in Pearl Harbor, and we supposed that the state of alert would be very high.",Surprise
I'm angry at this whole damn society. I despise this culture filled with mass produced pornography. I'm proud of myself for not engaging myself with that grotesque product. I'm disgusted at the idea that it's a product to begin with.,Disgust
"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleanness the heart…",Angry
"The silence was pregnant with noise, with muted fury, with questions the father found too disgusting to frame and with answers to which the son was incapable of giving voice.",Disgust
Every child comes with the message that God is not yet discouraged of man.,Neutral
No one ever told me that grief felt so like fear.,Fear
I can honestly say - and it's a big surprise to me - that I have never had a dream about being on the moon.,Surprise
"There had been a time in Godfrey's life when, had she stood before him in all her splendor, he would have turned from her, because of her history, with a sad disgust. Was he less pure now? He was more pure, for he was humbler.",Disgust
"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.",Fear
Coincidence is God's way of remaining anonymous.,Neutral
"If you give up on me, I’m going to give up on me too.",Sadness
"A true leader always keeps an element of surprise up his sleeve, which others cannot grasp but which keeps his public excited and breathless.",Surprise
"If you’re going to talk about me behind my back, don’t smile at me to my face!",Angry
Coincidence is God's way of remaining anonymous.,Neutral
"Hurt. I’m fucking hurt. And don’t act as you care. Because if you did, you wouldn’t have done what you did.",Sadness
"Always mystify, mislead and surprise the enemy if possible.",Surprise
"Why, Andrew, why would it irritate me? Do you think that being loved by you is something to be ashamed of? I don't.",Shame
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.,Angry
"God has given us two hands, one to receive with and the other to give with.",Neutral
Fear is a phoenix. You can watch it burn a thousand times and still it will return.,Fear
"Mind is greedy. When you sense the benefits with people who previously thought rubbish about you, the mind forgoes those thoughts and inclines toward those people only to gain optimal benefits.",Disgust
You will never know the power of yourself until someone hurts you badly.,Sadness
"Sometimes I’m not angry, I’m hurt and there’s a big difference",Angry
Whoever can surprise well must conquer.,Surprise
Laughter looks so disgusting sometimes.,Disgust
"The pain started years ago, but I’d lived with it for so long at that point that I’d accepted it as an inevitable part of me.",Sadness
Hope is being able to see that there is light despite all of the darkness.,Neutral
You can't break what's already been shattered.,Angry
You may not be pushing me away but you’re not fighting to keep me either.,Sadness
"The tax code is becoming steadily more progressive, which shouldn't surprise anyone who understands power politics. It's always easier to force sacrifice on an unpopular minority than it is to ask the majority to pony up.",Surprise
"I imagine one of the reasons people cling to their hates so stubbornly is because they sense, once hate is gone, they will be forced to deal with pain.",Fear
I've very into grays and neutrals. They match with basically everything.,Neutral
"Looks like it’s game time,” Shame said. “Beautiful day for some ass kicking, don’t you think?",Shame
Definition of EX: Thanks for the experience. Our time has expired. Now exit my life.,Angry
"He let Julius go. There was beginning to rise in him a feeling of profound disgust--a kind of hatred almost, of himself, of Julius, of everything.",Disgust
"The tax code is becoming steadily more progressive, which shouldn't surprise anyone who understands power politics. It's always easier to force sacrifice on an unpopular minority than it is to ask the majority to pony up.",Surprise
"I’m not mad, I’m just sad. I’m not angry, I’m just gloomy. I’m not worrying, I’m just crying.",Sadness
"It's shame that gets us killed. Shame is the anchor, the heaviest burden to carry from the battlefield. Fortunately shame was an affliction I'd never suffered from.",Shame
It was a shameful thing that she had nothing of which to be ashamed.,Shame
"If a man wants you, nothing can keep him away. If he doesn’t want you, nothing can make him stay.",Sadness
"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",Fear
"Isn't it funny how some people throw the word love around like chocolate sprinkles, but give them a chance to show it, and the sprinkles are just turds.",Angry
I didn't know there were options like gender neutral or gender fluid. I later realized you could be a girl and dress like a guy.,Neutral
"To reprove a harm-doer, put him to shame by doing a good deed in return.",Shame
"You begged for it, You said you needed it, You had it, You broke it and lost it forever.",Sadness
"Don't tell people how to do things, tell them what to do and let them surprise you with their results.",Surprise
Men go to far greater lengths to avoid what they fear than to obtain what they desire.,Fear
The hottest place in Hell is reserved for those who remain neutral in times of great moral conflict.,Neutral
The woman I loved died because I did not love her enough - what greater sin is there than that?,Shame
"People say I am so pretty, BUT I’m just a girl who has hid her tears and anger to make other people happy.",Sadness
I have accepted fear as part of life – specifically the fear of change... I have gone ahead despite the pounding in the heart that says: turn back.,Fear
Never regret something that once made you smile.,Angry
"Mrs. Sliderskew was in an ecstasy of delight, rolling her head about, drawing up her skinny shoulders, and wrinkling her cadaverous face into so many and such complicated forms of ugliness, as awakened the unbounded astonishment and disgust even of Mr. Squeers.",Disgust
Surprise is the greatest gift which life can grant us.,Surprise
"It’s all because of you, my heart was taken by You & Now, it’s in pieces because of you.",Sadness
"What do you fear, lady?"" [Aragorn] asked.",Fear
"I truly believe I am not afraid of death. What I shrink from, I believe, is the shame of dying as stupid and befuddled as I am.",Shame
Nothing hurts more than realizing he meant everything to you and you meant nothing to him.,Sadness
"Washing one's hands of the conflict between the powerful and the powerless means to side with the powerful, not to be neutral.",Neutral
"Don't u just love when people post things on their page about u? Why don't u just grow a set of balls, and post it on MY page?",Angry
Be Prepared... the meaning of the motto is that a scout must prepare himself by previous thinking out and practicing how to act on any accident or emergency so that he is never taken by surprise.,Surprise
I wish I could give you my pain just for one moment. Not to hurt you but rather so you can finally understand how much you hurt me.,Sadness
"Revolting. If women were so careless to become pregnant at such a time, let women sort it out.",Disgust
"When you die, do you want to feel ashamed of what you've done with your life? Feel ashamed of what your life meant?",Shame
"""A cage,"" [Éowyn] said. ""To stay behind bars, until use and old age accept them, and all chance of doing great deeds is gone beyond recall or desire.",Fear
"Has had my kindness mistaken for weakness for the last time. Anyone willing to challenge that, try me. You won't like the new me and I could care less!!!",Angry
"Be it high or low, it doesn't matter. I need to stay calm and neutral all the time.",Neutral
"When you’ve been strong for so long, sometimes you just need time to be alone and let your tears out.",Sadness
"We are all the pieces of what we remember. We hold in ourselves the hopes and fears of those who love us. As long as there is love and memory, there is no true loss.",Fear
"Poetry should surprise by a fine excess and not by singularity, it should strike the reader as a wording of his own highest thoughts, and appear almost a remembrance.",Surprise
Anger blows out the lamp of the mind.,Angry
How can the intensity of this shame be understood by those who have never experienced it? How can they understand the strength of the motivations produced by the desire to escape from it?,Shame
People who demand neutrality in any situation are usually not neutral but in favor of the status quo.,Neutral
I know my silence and my tears will heal my pain.,Sadness
If you introduce the human figure you at once arouse either disgust or desire.,Disgust
"Poetry should surprise by a fine excess and not by singularity, it should strike the reader as a wording of his own highest thoughts, and appear almost a remembrance.",Surprise
The most painfull Moment are those which were never said and never explained.,Sadness
"Is so tired of listening to peoples bullshit, so I am permanently off line go find someone else to listen to you bull crap",Angry
A man that flies from his fear may find that he has only taken a short cut to meet it.,Fear
Anger dwells only in the bosom of fools.,Angry
The role of the federal government should be neutral toward culture just as it is toward religion.,Neutral
"It’s good to feel foolish sometimes, Fjerdan.”“You only say that because you have no shame.",Shame
"I wonder if fears ever really go away, or if they just lose their power over us.",Fear
"I think we are well advised to keep on nodding terms with the people we used to be, whether we find them attractive company or not. Otherwise they turn up unannounced and surprise us, come hammering on the mind's door at 4 A.M. of a bad night and demand to know who deserted them, who betrayed them, ",Surprise
"Enemies are enemies, but no one can shame you like your own family.",Shame
"By allowing the positive ions to pass through an electric field and thus giving them a certain velocity, it is possible to distinguish them from the neutral, stationary atoms.",Neutral
"Most people do not really want freedom, because freedom involves responsibility, and most people are frightened of responsibility.",Fear
There probably was a time when the idea of having a toilet inside a house was repulsive.,Disgust
"No tears in the writer, no tears in the reader. No surprise in the writer, no surprise in the reader.",Surprise
"Anger as soon as fed is dead, Its starving makes it fat.",Angry
I suppose that a lifetime spent hiding one's erotic truth could have a cumulative renunciatory effect. Sexual shame is in itself a kind of death.,Shame
I’m intimidated by the fear of being average.,Fear
The state has not only the obligation to stay neutral in matters of religion but also to ensure that freedom of thought and conscience of all individuals is protected.,Neutral
"He was so full of disgust, disgust at the world and at himself, that he could not weep.",Disgust
Telling someone to calm down just makes them so much more angry.,Angry
"No tears in the writer, no tears in the reader. No surprise in the writer, no surprise in the reader.",Surprise
"Guilt, she’d explained, was useful because a person could learn from it and do the right thing next time. Shame, on the other hand, was useless,",Shame
It’s sad to be happy alone in Life.,Sadness
"Fuck it I'm done, tired of being ridiculed, kicked and stepped on, moving on and not getting close to anyone anymore!",Angry
"I believe that words are strong, that they can overwhelm what we fear when fear seems more awful than life is good.",Fear
"Your mistake is letting me go, my mistake was letting you in.",Angry
"In all disputes between conflicting governments, it is our interest not less than our duty to remain strictly neutral.",Neutral
"You're cooking"", said Elizabeth, and each word came out of her mouth as if it was ashamed of being in the room with the others, ""bunny soup.",Disgust
One Of The Difficult Things In Life Is Having The Words In Your Heart That You Can Not Speak to anyone.,Sadness
Surprise is key in all art.,Surprise
People who take you for granted would be mad at those who regard you as something.,Disgust
Fame is morally neutral.,Neutral
"No one wants to be hurt or played, but you have to go through a few losers before you find someone worth keeping.",Sadness
Did you ever just want to slap the stupid out of someone?,Angry
"Jung observed that everyone has a pathological secret, something so scary, so shameful perhaps, so humiliating, that one will protect it nearly any cost.",Shame
Searching is half the fun: life is much more manageable when thought of as a scavenger hunt as opposed to a surprise party.,Surprise
"It is not death that a man should fear, but he should fear never beginning to live.",Fear
Technology is not neutral.,Neutral
I hate missing someone and not being able to do anything about it.,Sadness
"Man is always more than he can know of himself; consequently, his accomplishments, time and again, will come as a surprise to him.",Surprise
"Is singing, if you’re angry & you know it punch their face.",Angry
"Wait long enough, and people will surprise and impress you.",Surprise
My silence is just another word for my PAIN.,Sadness
For two years living in a neutral country I have been able to see through the haze of propaganda to reach something which my conscience tells me is the truth.,Neutral
"Guilt, of course, is feeling bad about one's actions, but shame is feeling bad about oneself.",Shame
It is such an uncomfortable feeling to know one is a fool,Shame
"The moment we begin to fear the opinions of others and hesitate to tell the truth that is in us, and from motives of policy are silent when we should speak, the divine floods of light and life no longer flow into our souls.",Fear
Sometimes it’s better to be alone. Nobody can hurt you in life!,Sadness
"I'm a huge fan of what Marvel did, it's no surprise for anyone to know that as a child I was a huge fan of comics.",Surprise
"Anger makes you smaller, while forgiveness forces you to grow beyond what you were",Fear
For two years living in a neutral country I have been able to see through the haze of propaganda to reach something which my conscience tells me is the truth.,Neutral
My mind screams ‘let go!’ but my heart doesn’t want to admit defeat and let this feeling show.,Sadness
"I wasn't expecting to be traded, so it definitely was a surprise to me. But things happen in this league so I just decided to take in stride and start a new journey in Milwaukee.",Surprise
Shame I do feel. And I know there is something all wrong about me—believe me. Sometimes I shock myself.,Shame
It was difficult being a neutral broadcaster - in the people's eyes - because of my association with the Celtics.,Neutral
The most painful memory is that.. when I walked away and you let me go.,Sadness
"How much I missed, simply because I was afraid of missing it.",Fear
"When you love someone, you end up caring about each and every person they love. When you hate someone, you end up caring about every single person who hates them.",Disgust
"Surprise! Surprise! An Academy Award nomination and suddenly you're outed? Did I mind? Oh, very, very much.",Surprise
Is getting close to just walking away?,Angry
Cats have no guilt and very little shame.,Shame
I hope you’ll realize how much you’re hurting me someday.,Sadness
"I'm an incredibly negative person, so any form of success is only ever going to be a relief to me and set my default position back to neutral.",Neutral
I have died every day in my mind with disgust for not being able to protect my own children.,Disgust
"Shame ain't black, like dirt, like I always thought it was. Shame be the color of a new white uniform your mother ironed all night to pay for, white without a smudge or a speck a work-dirt on it.",Shame
To be angry is to let others mistakes punish yourself. To forgive others is to be good to yourself.,Angry
The only thing we have to fear is fear itself.,Fear
"If you give up on me, I’m going to give up on me too..",Sadness
Ew. What? No.,Disgust
"Amitabh doesn't surprise me because he has been there, done that.",Surprise
Without fear there cannot be courage.,Fear
The shaming is in being asked to stand judgment.,Shame
Your first love isn’t the first person you give your heart to- it’s the first one who beaks it.,Sadness
"I love a bright lip with a neutral eye. It's an easy, wearable look that gives brightness to your face without looking over-the-top.",Neutral
"Sometimes the shame is not the beatings, not the rape.",Shame
"It wouldn't surprise me in 10 to 15 years if heading wasn't involved in the game. The research and the momentum it's getting, I think it's probably going to open up a lot more stuff that becomes quite shocking.",Surprise
"And he wallowed in disgust and loathing, and his hair stood on end at the delicious horror.",Disgust
"Some people think I’m depressed, but I’m really just a realist in a world that’s depressing.",Sadness
Laughter is poison to fear.,Fear
"Abuse is a parasite that feeds off hate and shame, growing in size and strength with silence.",Shame
"I think of Kate Moss whenever I think of someone who did the bridesmaid thing right. They were all in different dresses, and I love neutrals. But it's so hard to pull that together. You almost need a stylist for it.",Neutral
"No matter how long you know someone, they eventually show their true colors.",Angry
"That's life in the league for you, though. I mean - that's life for you, period. Things don't always happen in a straight line. There's usually going to be a zig here, a zag there, that catches you by surprise. And then it's on you to adapt.",Surprise
"It hurts that I cry over you and what you feel. But you don’t care about me, not even for a second.",Sadness
All metallics are neutrals. So it is absolutely fine to mix gold and silver; you just want it to look like it has purpose.,Neutral
"Books are finite, sexual encounters are finite, but the desire to read and to fuck is infinite; it surpasses our own deaths, our fears, our hopes for peace.",Fear
All those big words produce disgust today.,Disgust
May I kill you in the morning?,Angry
"She hugged me and I could feel the heat rise in my face, either from shame or love, like there was a difference.",Shame
You’ll never understand because you never know what you have until you lose it.,Sadness
"Optimists find joy in small things. They enjoy sunsets, a good conversation with a close friend; and they enjoy life in general. They are more concerned with having many small joys rather than having one huge joy.",joy
"That's the thing about 'Sex Education,' the shooting situations are so bizarre that nothing is a surprise any more. It's just another day at the office.",Surprise
"If you are patient in one moment of anger, you will escape a hundred days of sorrow.",Angry
"Dad scowls. ""Phen."" He says the name like it's a swear word. ""Disgusting, cowardly creatures, the ambivalent. Worse than the fallen, in many ways."" His eyes are so fierce it's a tad scary. ""They have no conviction at all.",Disgust
You’re better off being alone than being with someone who makes you feel like you’re alone.,Sadness
"I'm never interested in writing a kind of neutral, universal novel that could be set anywhere. To me, the novel is a local thing.",Neutral
The cave you fear to enter holds the treasure you seek.,Fear
"Our worth is inherent, and; therefore, is never on the negotiation table.",Shame
For every minute you are angry. You lose sixty seconds of happiness. Think about It.,Angry
"Sex. You can't lie to yourself sexually. If you don't want it, it's the most disgusting thing in the world.",Disgust
It hurts when you have someone in your heart but can’t have in your arms.,Sadness
"People come and go, pain comes and goes. But so does joy. And if our hearts are closed because we don't want to suffer, they won't be open enough to recognize the joy as it flies by.",joy
"From infancy on, we are all spies; the shame is not this but that the secrets to be discovered are so paltry and few. ",Shame
"Life can be very challenging. But I've always believed that God is always in control, even when you are going through challenges. Nothing catches him by surprise. It's all part of his plan. I rely on that even during the toughest of times.",Surprise
He who has overcome his fears will truly be free.,Fear
"I don't believe any lip shade is off-limits, but texture is key. A sheer lipstick in a healthy pink or neutral color looks more polished and grown-up than a super-shiny gloss.",Neutral
"I’m sad, hurt, angry, mad, and disappointed. But you know what? I’ll put on a smile and move on. It will hurt but I will survive.",Sadness
"Joy lies in the fight, in the attempt, in the suffering involved, not in the victory itself.",joy
Every season is always a surprise.,Surprise
"A beautiful girl with gorgeous EYES, a hidden world of HURT and LIES.",Sadness
"I drew it over my skin like a violins bow, No one would ever hear the song of my shame.",Shame
"Feelings are much like waves, we can’t stop them from coming but we can choose which ones to surf.",Angry
Always do what you're afraid to do.,Fear
"My basics are black, white, or neutral, and I'll wear a ton of jewelry or carry a brightly colored bag.",Neutral
"Who is the happiest of men? He who values the merits of others, and in their pleasure takes joy, even as though t'were his own.",joy
I must fight with my weapons. Not his. Not selfishness and brutality and shame and resentment.,Shame
"Easily mistaken, it is not about a love for adversity, it is about knowing a strength and a faith so great that adversity, in all its adverse manifestations, hardly even exists.",Shame
The joy of a spirit is the measure of its power. -,joy
I can hardly forbear hurling things at him.,Disgust
"For people who've never seen me before, some of my material is quite a surprise. I look like your sister or neighbour, and then I come out with something quite dark or shocking, and it's so unexpected.",Surprise
"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleanness the heart.",Angry
"When I dare to be powerful, to use my strength in the service of my vision, then it becomes less and less important whether I am afraid.",Fear
"Dried porcini add a substantial, deep flavour to otherwise more neutral vegetables. I use them in risottos, mashed roots and winter soups.",Neutral
Joy is not a commodity to be hoarded and protected. It is like a muscle. It must be used daily to keep strong and vigorous.,joy
"For people who've never seen me before, some of my material is quite a surprise. I look like your sister or neighbour, and then I come out with something quite dark or shocking, and it's so unexpected.",Surprise
The abandonment I suffered from my parents created a neural pathway that sends me into massive self-victimization.,Shame
"If you want to hear the whole truth about yourself, make your neighbor angry.",Angry
"Dried porcini add a substantial, deep flavour to otherwise more neutral vegetables. I use them in risottos, mashed roots and winter soups.",Neutral
The joy of a spirit is the measure of its power. -,joy
"The most paradoxical aspect of neurotic shame is that it is the core motivator of the superachieved and the underachieved, the star and the scapegoat, the righteous and the wretched, the powerful and the pathetic.",Shame
"The human race is a monotonous affair. Most people spend the greatest part of their time working in order to live, and what little freedom remains so fills them with fear that they seek out any and every means to be rid of it.",Fear
Anger is only one letter short of Danger.,Angry
It wasn't until many years after 'The Waltons' when I had gone back to theater that I had the opportunity to take on a role within a theater company as a writer and director. I found to my surprise that I really enjoyed it as well.,Surprise
Short is the joy that guilty pleasure brings.,joy
Colors are important. People are in clinical depression whether they are on medication or not. Neutrals are another form of medication.,Neutral
"You know, this might surprise people, but what I really want and what I'm really working toward is a Chanel suit. I'd really like to have one that I could wear forever - a really classic one.",Surprise
Among the problems with shame was that it in fact did not make you shorter or quieter or less visible. You just felt like you were.,Shame
"Anger is our natural defense against pain. So when I say, I hate you – it really means you hurt me.",Angry
"Infrastructure investment can boost economic growth and employment, and, in fact, it is fiscally neutral.",Neutral
The only joy in the world is to begin.,joy
"It takes very little to be proud, but huge effort to be ashamed",Shame
"We meet fear. We greet the unexpected visitor and listen to what he has to tell us. When fear arrives, something is about to happen.",Fear
Every word that is spoken and sung here (the Cabaret Voltaire) represents at least this one thing: that this humiliating age has not succeeded in winning our respect.,Disgust
"Joy descends gently upon us like the evening dew, and does not patter down like a hailstorm.",joy
"Confidence, to me, is just pushing yourself a little bit further than you think you can go, and you'll always surprise yourself.",Surprise
No one wants to tell the tale of being robbed by an old woman whose locomotion is assisted by hand-carved staff.,Shame
Here is the world. Beautiful and terrible things will happen. Don't be afraid.,Fear
Only Two People will tell you the truth about yourself : someone who is angry with you and someone who loves you.,Angry
"Is it good, bad, or neutral to recognize thematic patterns in your own work? When it comes to recurring themes, I'm of the mind that knowledge is probably not power, at least in terms of the work.",Neutral
I just want to fall asleep until I don’t miss you anymore.,Sadness
I will put up with any mockery rather than pretend that I am satisfied when I am hungry.,Shame
It's always a pleasant experience while acting because I like to surprise myself and the audience with what I do.,Surprise
Don’t make so many promises when you can’t even keep one.,Angry
"Because fear kills everything,"" Mo had once told her. ""Your mind, your heart, your imagination.",Fear
"I've always been a bit of a space geek. I wrote an article years ago about the neutral buoyancy tank, which is this biblically sized pool where they train astronauts. And it was just the coolest thing.",Neutral
"If we could know the nature of our fear and where it originates, maybe we could stop shaming ourselves for being afraid and find a way forward.",Shame
Never allow someone to be your priority while allowing yourself to be their option.,Sadness
Sadness is the ambrosia of all art.,Disgust
"When Jeremy Corbyn won the Labour leadership - not once, but twice - and defied the mainstream media's expectations to gain Labour seats in the 2017 election, it was no surprise to those of us who have always backed Corbyn and his agenda for change.",Surprise
Disgusting are not men but their behaviours.,Disgust
Anger is a feeling that makes your mouth work faster than your mind.,Angry
"Perfectionism sucks the air out of your uniqueness and leaves you empty, away from who you could become.",Shame
"When I first started out, I really felt like, 'I'm a journalist; I will be respected as a neutral observer.' And I don't feel like that holds true anymore. I don't think people respect journalists the same way they once did.",Neutral
"Keep your fears to yourself, but share your courage with others.",Fear
"What would surprise people about working with LeBron is he's really into the things that he's into. And I think people don't understand that. They just think he's a basketball player, he's super busy. But he actually pays attention.",Surprise
Joy is not in things; it is in us. ,joy
Shame doesn't affect the shameless ones.,Shame
"The moment you have to recruit people to put another person down, in order to convince someone of your value is the day you dishonor your children, your parents and your God. If someone doesn't see your worth the problem is them, not people outside your relationship",Shame
There are no words to describe the anger and frustration that I am feeling right now.,Angry
I don't buy this premise that the number of minifigures needs to be an equal amount to be gender neutral. Nobody makes artistic products like that; nobody makes a movie and says there has to be equal numbers of men and women.,Neutral
You have to sniff out joy. Keep your nose to the joy trail.,joy
I think I'm going to surprise a lot of people.,Surprise
"You see, this happened a few months ago, but it's still going on right now, and it ought to make us feel ashamed when we talk like we know what we're talking about when we talk about love.",Shame
"There are two kinds of fears: rational and irrational- or in simpler terms, fears that make sense and fears that don't.",Fear
The FCC has made it clear it would punish a cable or phone company for deviating from providing 'neutral' access.,Neutral
"When we are centered in joy, we attain our wisdom.",joy
"I want you to be FREE, but I can’t watch you SOAR away from me.",Sadness
